id,province,district_code,district,year,population,rate,rate_growth,rate_mechanical,density,born,birth_rate,born_3,born_per_3,prenatal_screening,newborn_screening,m_to_f
200,01,20,Đan Phượng,2020,179.514,2.3,10.04,-0.19,1.597,2.822,15.72,288,10.21,84.41,93.26,110.9
201,01,21,Thạch Thất,2020,220.382,1.5,10.47,02.01,2.302,3.622,16.44,384,10.60,88.36,86.32,117.9
202,01,22,Hoài Đức,2020,271.443,2.3,10.99,0.18,3.192,4.020,14.81,585,14.55,88.95,83.18,116.7
203,01,23,Quốc Oai,2020,199.289,1.4,10.56,0.17,1.317,2.984,14.97,350,11.73,94.62,93.19,110.6
204,01,24,Chương Mỹ,2020,342.189,1.2,12.05,-0.60,1.177,5.468,15.98,698,12.77,81.42,86.67,113.2
205,01,25,Thanh Oai,2020,220.149,2.2,11.45,0.32,1.441,3.723,16.91,252,6.77,79.75,86.12,116.5
206,01,26,Thường Tín,2020,259.233,1.4,12.1,-0.09,1.752,3.775,14.56,503,13.32,88.74,82.99,116.1
207,01,27,Ứng Hòa,2020,213.108,0.5,9.87,0.17,1.993,2.981,13.99,465,15.60,81.33,88.20,111.8
208,01,28,Phú Xuyên,2020,222.025,2.8,11,0.31,1.279,3.729,16.8,293,7.86,81.56,83.98,115.3
209,01,29,Mỹ Đức,2020,204.088,1.2,7.98,0.20,1.133,3.003,14.71,319,10.62,86.45,90.95,111.4
210,01,30,Mê Linh,2020,249.747,3.5,10.18,0.10,902,4.050,16.22,293,7.23,79.43,84.12,112.2
211,01,1,Ba Đình,2021,225.314,-0.1,7.67,1.54,24.463,2.692,11.95,30,1.11,84.01,88.00,104.96
212,01,2,Hoàn Kiếm,2021,139.573,0.0,6.12,0.10,26.094,2.175,15.58,32,1.47,85.01,88.00,119.15
213,01,3,Hai Bà Trưng,2021,298.348,-1.7,8.26,0.32,6.772,3.549,11.9,5,0.14,84.02,89.00,95.22
214,01,4,Đống Đa,2021,376.860,0.5,11.22,-0.22,5.590,4.474,11.87,6,0.13,84.55,89.00,108.40
215,01,5,Thanh Xuân,2021,293.218,-0.9,12,1.53,23.764,4.078,13.91,25,0.61,84.09,87.20,105.23
